Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C14,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-81.5,-37.5,0.0,top
C15,47u,CP_Elec_6.3x7.7,-91.1,-33.0,0.0,top
C16,47u,CP_Elec_6.3x7.7,-102.0,44.0,180.0,top
C17,47u,CP_Elec_6.3x7.7,-102.0,28.0,180.0,top
C18,47u,CP_Elec_6.3x7.7,-102.0,12.0,180.0,top
C19,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.0,-4.0,0.0,top
C20,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.0,-20.0,0.0,top
C21,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-120.0,-39.0,0.0,top
C22,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-92.0,-16.0,0.0,top
C23,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-92.025,-0.0,0.0,top
C24,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90.0,16.0,0.0,top
C25,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90.0,32.0,0.0,top
C26,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,-35.0,0.0,top
C27,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90.0,48.0,0.0,top
D1,7v5,D_SOD-123F,-101.5,38.0,180.0,top
D2,7v5,D_SOD-123F,-101.5,22.0,180.0,top
D3,7v5,D_SOD-123F,-101.5,6.0,180.0,top
D4,7v5,D_SOD-123F,-102.5,-8.0,180.0,top
D5,7v5,D_SOD-123F,-102.5,-24.0,180.0,top
D6,7v5,D_SOD-123F,-119.5,-43.0,180.0,top
J6,Conn_02x25_Odd_Even,PinHeader_2x25_P2.54mm_Horizontal,28.77,0.02,0.0,top
JBlue1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,-119.915,12.0,90.0,top
JGreen1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,-119.915,28.0,90.0,top
JH1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,-119.915,-4.0,90.0,top
JLeft1,Conn_Coaxial,Cheapo_RCA_single_edge,-130.125,-39.0,90.0,top
JRed1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,-119.915,44.0,90.0,top
JRight1,Conn_Coaxial,Cheapo_RCA_single_edge,-130.125,-52.0,90.0,top
JV1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,-119.915,-20.0,90.0,top
Q1,mmbt3904,SOT-23,-91.0,45.0,90.0,top
Q2,mmbt3904,SOT-23,-91.0,29.0,90.0,top
Q3,mmbt3904,SOT-23,-91.0,13.0,90.0,top
Q4,mmbt3904,SOT-23,-93.0,-3.0,90.0,top
Q5,mmbt3904,SOT-23,-93.0,-19.0,90.0,top
Q6,mmbt3904,SOT-23,-110.0,-38.0,90.0,top
R1,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-85.0,-31.0,-90.0,top
R12,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,43.0,-90.0,top
R13,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,27.0,-90.0,top
R14,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,11.0,-90.0,top
R15,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,-5.0,-90.0,top
R18,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109.0,-21.0,-90.0,top
R19,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,44.0,180.0,top
R2,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-85.0,-35.0,-90.0,top
R20,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,28.0,180.0,top
R21,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,12.0,180.0,top
R22,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-4.0,180.0,top
R23,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-20.0,180.0,top
R24,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114.0,-39.0,180.0,top
R25,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,46.0,0.0,top
R26,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,42.0,180.0,top
R27,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,30.0,0.0,top
R28,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,26.0,180.0,top
R29,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,14.0,0.0,top
R30,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95.0,10.0,180.0,top
R31,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-2.0,0.0,top
R32,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-6.0,180.0,top
R33,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-18.0,0.0,top
R34,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97.0,-22.0,180.0,top
R35,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114.0,-37.0,0.0,top
R36,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114.0,-41.0,180.0,top
R37,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91.0,42.0,180.0,top
R38,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91.0,26.0,180.0,top
R39,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91.0,10.0,180.0,top
R40,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-93.0,-6.0,180.0,top
R41,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-93.0,-22.0,180.0,top
R42,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-110.0,-41.0,180.0,top
R43,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87.0,44.0,180.0,top
R44,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87.0,28.0,180.0,top
R45,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87.0,12.0,180.0,top
R46,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-89.0,-4.0,180.0,top
R47,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-89.0,-20.0,180.0,top
R48,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-106.0,-39.0,180.0,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,-79.5,-32.5,0.0,top
U4,SCART_CONN,SCART_CONN,-130.41,23.255,-90.0,top
